BioProject,Run,EV_type,Source,disease,Disease_stage/treatment,Release_date,URL,EV isolated method,Project_Title,Project_Description
PRJNA648286,SRR12327084,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327085,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327086,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327087,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327088,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327089,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327090,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327093,sEV,Blood|Serum,Gastric cancer,Liver metastasis,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327098,sEV,Primary cell|Stomach|supernatant exosomes of MKN45 cells,Gastric cancer,-,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
PRJNA648286,SRR12327099,sEV,Primary cell|Stomach|supernatant exosomes of MKN45 cells,Gastric cancer,-,2022-12-30,https://pubmed.ncbi.nlm.nih.gov/36217165/,"MKN45 and MKN45-HL cells were cultured in normal medium until they were 80% confluent. Then the medium was replaced with exosome-depleted medium (RPMI1640 containing 10% exosome-depleted FBS). Two days later, the conditioned medium (approximately 15 ml) was collected from each dish and subjected to polymerization precipitation, ultrafiltration, and ultracentrifugation to harvest exosomes. Briefly, the conditioned medium was successively centrifuged at 1,00 × g for 10 min, 2,000 × g for 10 min, and 18,000 × g for 30 min to remove cell fragments, cell debris, and large extracellular vesicles (lEVs). The supernatant was then concentrated using an ultrafiltration tube (Merck Millipore) to < 3 mL (4,000 × g, 4 °C) to separate the exosome fraction from the soluble exosome fraction. Exosomes were then purified according to the experimental protocol of Total Exosome Isolation Reagent (Invitrogen; 4,478,359). The pellet was resuspended in particle-free PBS or stored at -80 °C in the refrigerator for subsequent use. For exosome purification from plasma, blood samples must be successively centrifuged at 150 g for 15 min and 1,200 g for 15 min to obtain PPP (platelet-poor plasma). The separation and concentration of exosomes in PPP were then similar to that of the cell-conditioned medium. The NanoSight LM10 system (Malvern Instruments, UK) was used to analyze the amount and concentration of exosomes.",Homo sapiens (human),This study explores the role of exosomal miRNA from gastric cancer in liver metastasis of gastric cancer.
